[2023-01-19 22:52:06,661] Register - Step 01: Navigate to 'Register page'
[2023-01-19 22:52:08,246] Register - Step 02: Enter to First Name textbox with value is 'Gino'
[2023-01-19 22:52:08,343] Register - Step 03: Enter to Last name textbox with value is 'Breitenberg'
[2023-01-19 22:52:09,465] Register - Step 04: Enter to Email Address textbox with value is 'stephenie.gutkowski@hotmail.com'
[2023-01-19 22:52:09,644] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-01-19 22:52:09,730] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-01-19 22:52:09,823] Register - Step 07: Click to Register button
[2023-01-19 22:52:10,571] Register - Step 08: Verify register success mesage is displayed
[2023-01-19 22:52:10,742] Login - Step 01: Navigate to 'Home page'
[2023-01-19 22:52:11,140] Login - Step 02: Enter to  Email Address textbox with value is 'stephenie.gutkowski@hotmail.com'
[2023-01-19 22:52:11,248] Login - Step 03: Enter to Password textbox with value is '123456'
[2023-01-19 22:52:11,339] Login - Step 04: Click to Login button
[2023-01-19 22:52:12,099] Login - Step 05: Verify login success mesage is displayed
[2023-01-19 22:52:12,172] My_Account - Step 01: Navigate to 'My account' page
[2023-01-19 22:52:12,574] My_Account - Step 02: Verify 'Cutomer Infor' page is displayed
[2023-01-19 22:52:12,632] My_Account - Step 03: Verify 'First name' page is displayed
[2023-01-19 22:52:12,691] My_Account - Step 04: Verify 'Last name' page is displayed
[2023-01-19 22:52:12,752] My_Account - Step 05: Verify 'Email' page is displayed
[2023-01-19 22:52:12,832] OS name = windows 11
[2023-01-19 22:52:12,833] Driver instance name = firefoxdriver: firefox on windows (63f27b6f-421b-4462-a1df-2f9eddd71519)
[2023-01-20 07:38:57,465] Register - Step 01: Navigate to 'Register page'
[2023-01-20 07:38:58,864] Register - Step 02: Enter to First Name textbox with value is 'Bernardo'
[2023-01-20 07:38:58,951] Register - Step 03: Enter to Last name textbox with value is 'Roberts'
[2023-01-20 07:39:00,060] Register - Step 04: Enter to Email Address textbox with value is 'lorenza.zemlak@gmail.com'
[2023-01-20 07:39:00,230] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-01-20 07:39:00,335] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-01-20 07:39:00,429] Register - Step 07: Click to Register button
[2023-01-20 07:39:01,176] Register - Step 08: Verify register success mesage is displayed
[2023-01-20 07:39:01,324] Login - Step 01: Navigate to 'Home page'
[2023-01-20 07:39:01,693] Login - Step 02: Enter to  Email Address textbox with value is 'lorenza.zemlak@gmail.com'
[2023-01-20 07:39:01,805] Login - Step 03: Enter to Password textbox with value is '123456'
[2023-01-20 07:39:01,922] Login - Step 04: Click to Login button
[2023-01-20 07:39:02,634] Login - Step 05: Verify login success mesage is displayed
[2023-01-20 07:39:02,692] My_Account - Step 01: Navigate to 'My account' page
[2023-01-20 07:39:03,069] My_Account - Step 02: Verify 'Cutomer Infor' page is displayed
[2023-01-20 07:39:03,137] My_Account - Step 03: Verify 'First name' page is displayed
[2023-01-20 07:39:03,211] My_Account - Step 04: Verify 'Last name' page is displayed
[2023-01-20 07:39:03,272] My_Account - Step 05: Verify 'Email' page is displayed
